site_id,bit_index,result
26,10,SDC
26,11,SDC
26,12,SDC
26,13,SDC
26,14,SDC
26,15,SDC
26,16,SDC
26,17,SDC
26,18,SDC
26,19,SDC
26,20,SDC
26,21,SDC
26,22,SDC
26,23,SDC
26,24,SDC
26,25,SDC
26,26,SDC
26,27,SDC
26,28,SDC
26,29,SDC
26,30,SDC
26,31,SDC
27,0,SDC
27,1,SDC
27,2,SDC
27,3,SDC
27,4,SDC
27,5,SDC
27,6,SDC
27,7,SDC
27,8,SDC
27,9,SDC
27,10,SDC
27,11,SDC
27,12,SDC
27,13,SDC
27,14,SDC
27,15,SDC
27,16,SDC
27,17,SDC
27,18,SDC
27,19,SDC
27,20,SDC
27,21,SDC
27,22,SDC
27,23,SDC
27,24,SDC
27,25,SDC
27,26,SDC
27,27,SDC
27,28,SDC
27,29,SDC
27,30,SDC
27,31,SDC
28,0,SDC
28,1,SDC
28,2,SDC
28,3,SDC
28,4,SDC
28,5,SDC
28,6,SDC
28,7,SDC
28,8,SDC
28,9,SDC
28,10,SDC
28,11,SDC
28,12,SDC
28,13,SDC
28,14,SDC
28,15,SDC
28,16,SDC
28,17,SDC
28,18,SDC
28,19,SDC
28,20,SDC
28,21,SDC
28,22,SDC
28,23,SDC
28,24,SDC
28,25,SDC
28,26,SDC
28,27,SDC
28,28,SDC
28,29,SDC
28,30,SDC
28,31,SDC
29,0,SDC
29,1,SDC
29,2,SDC
29,3,SDC
29,4,SDC
29,5,SDC
29,6,SDC
29,7,SDC
29,8,SDC
29,9,SDC
29,10,SDC
29,11,SDC
29,12,SDC
29,13,SDC
29,14,SDC
29,15,SDC
29,16,SDC
29,17,SDC
29,18,SDC
29,19,MASKED
29,20,MASKED
29,21,MASKED
29,22,MASKED
29,23,MASKED
29,24,MASKED
29,25,MASKED
29,26,MASKED
29,27,MASKED
29,28,MASKED
29,29,MASKED
29,30,MASKED
29,31,MASKED
29,32,MASKED
29,33,MASKED
29,34,MASKED
29,35,MASKED
29,36,MASKED
29,37,MASKED
29,38,MASKED
29,39,MASKED
29,40,MASKED
29,41,MASKED
29,42,MASKED
29,43,MASKED
29,44,MASKED
29,45,MASKED
29,46,MASKED
29,47,MASKED
29,48,MASKED
29,49,MASKED
29,50,MASKED
29,51,MASKED
29,52,MASKED
29,53,MASKED
29,54,MASKED
29,55,MASKED
29,56,MASKED
29,57,MASKED
29,58,MASKED
29,59,MASKED
29,60,MASKED
29,61,MASKED
29,62,MASKED
29,63,MASKED
30,0,SDC
30,1,SDC
30,2,SDC
30,3,SDC
30,4,SDC
30,5,SDC
30,6,SDC
30,7,SDC
30,8,SDC
30,9,SDC
30,10,SDC
30,11,SDC
30,12,SDC
30,13,SDC
30,14,SDC
30,15,SDC
30,16,SDC
30,17,SDC
30,18,SDC
30,19,MASKED
30,20,MASKED
30,21,MASKED
30,22,MASKED
30,23,MASKED
30,24,MASKED
30,25,MASKED
30,26,MASKED
30,27,MASKED
30,28,MASKED
30,29,MASKED
30,30,MASKED
30,31,MASKED
31,0,SDC
31,1,SDC
31,2,SDC
31,3,SDC
31,4,SDC
31,5,SDC
31,6,SDC
