site_id,opcode,site_class,type_kind,bitwidth,operand_index
174,call,int,int,64,-1
175,call,operand,int,64,0
176,call,operand,int,32,1
177,call,operand,int,64,2
178,call,operand,int,64,3
179,call,operand,int,64,4
180,call,operand,int,64,5
181,call,operand,int,64,6
182,call,operand,int,64,7
183,call,operand,int,64,8
184,call,operand,int,32,9
185,call,pointer,pointer,64,10
186,store,operand,int,64,0
187,store,pointer,pointer,64,1
188,load,pointer,pointer,64,-1
189,load,pointer,pointer,64,0
190,store,pointer,pointer,64,0
191,store,pointer,pointer,64,1
192,load,pointer,pointer,64,-1
193,load,pointer,pointer,64,0
194,getelementptr,pointer,pointer,64,-1
195,getelementptr,pointer,pointer,64,0
196,getelementptr,operand,int,32,1
197,store,pointer,pointer,64,0
198,store,pointer,pointer,64,1
199,load,int,int,8,-1
200,load,pointer,pointer,64,0
201,icmp,int,int,1,-1
202,icmp,operand,int,8,0
203,icmp,operand,int,8,1
204,br,operand,int,1,0
205,load,pointer,pointer,64,-1
206,load,pointer,pointer,64,0
207,load,pointer,pointer,64,-1
208,load,pointer,pointer,64,0
209,ptrtoint,int,int,64,-1
210,ptrtoint,pointer,pointer,64,0
211,ptrtoint,int,int,64,-1
212,ptrtoint,pointer,pointer,64,0
213,sub,int,int,64,-1
214,sub,operand,int,64,0
215,sub,operand,int,64,1
216,trunc,int,int,32,-1
217,trunc,operand,int,64,0
218,store,operand,int,32,0
219,store,pointer,pointer,64,1
220,load,int,int,64,-1
221,load,pointer,pointer,64,0
222,load,pointer,pointer,64,-1
223,load,pointer,pointer,64,0
224,load,int,int,32,-1
225,load,pointer,pointer,64,0
226,sext,int,int,64,-1
227,sext,operand,int,32,0
228,call,int,int,64,-1
229,call,operand,int,64,0
230,call,pointer,pointer,64,1
231,call,operand,int,64,2
232,call,operand,int,32,3
233,call,pointer,pointer,64,4
234,store,operand,int,64,0
235,store,pointer,pointer,64,1
236,load,pointer,pointer,64,-1
237,load,pointer,pointer,64,0
238,store,pointer,pointer,64,0
239,store,pointer,pointer,64,1
240,load,pointer,pointer,64,-1
241,load,pointer,pointer,64,0
242,getelementptr,pointer,pointer,64,-1
243,getelementptr,pointer,pointer,64,0
244,getelementptr,operand,int,32,1
245,store,pointer,pointer,64,0
246,store,pointer,pointer,64,1
247,load,int,int,8,-1
248,load,pointer,pointer,64,0
249,icmp,int,int,1,-1
250,icmp,operand,int,8,0
251,icmp,operand,int,8,1
252,br,operand,int,1,0
253,load,pointer,pointer,64,-1
254,load,pointer,pointer,64,0
255,load,pointer,pointer,64,-1
256,load,pointer,pointer,64,0
257,ptrtoint,int,int,64,-1
258,ptrtoint,pointer,pointer,64,0
259,ptrtoint,int,int,64,-1
260,ptrtoint,pointer,pointer,64,0
261,sub,int,int,64,-1
262,sub,operand,int,64,0
263,sub,operand,int,64,1
264,trunc,int,int,32,-1
265,trunc,operand,int,64,0
266,store,operand,int,32,0
267,store,pointer,pointer,64,1
268,load,int,int,64,-1
269,load,pointer,pointer,64,0
270,load,pointer,pointer,64,-1
271,load,pointer,pointer,64,0
272,load,int,int,32,-1
273,load,pointer,pointer,64,0
274,sext,int,int,64,-1
275,sext,operand,int,32,0
276,call,int,int,64,-1
277,call,operand,int,64,0
278,call,pointer,pointer,64,1
279,call,operand,int,64,2
280,call,operand,int,32,3
281,call,pointer,pointer,64,4
282,call,pointer,pointer,64,0
283,call,pointer,pointer,64,0
284,alloca,pointer,pointer,32,-1
285,alloca,operand,int,32,0
286,alloca,pointer,pointer,32,-1
287,alloca,operand,int,32,0
288,alloca,pointer,pointer,32,-1
289,alloca,operand,int,32,0
290,alloca,pointer,pointer,32,-1
291,alloca,operand,int,32,0
