site_id,opcode,site_class,type_kind,bitwidth,operand_index
2467,getelementptr,pointer,pointer,64,0
2468,getelementptr,operand,int,64,1
2469,load,int,int,8,-1
2470,load,pointer,pointer,64,0
2471,zext,int,int,64,-1
2472,zext,operand,int,8,0
2473,shl,int,int,64,-1
2474,shl,operand,int,64,0
2475,shl,operand,int,64,1
2476,or,int,int,64,-1
2477,or,operand,int,64,0
2478,or,operand,int,64,1
2479,getelementptr,pointer,pointer,64,-1
2480,getelementptr,pointer,pointer,64,0
2481,getelementptr,operand,int,64,1
2482,load,int,int,8,-1
2483,load,pointer,pointer,64,0
2484,zext,int,int,64,-1
2485,zext,operand,int,8,0
2486,shl,int,int,64,-1
2487,shl,operand,int,64,0
2488,shl,operand,int,64,1
2489,or,int,int,64,-1
2490,or,operand,int,64,0
2491,or,operand,int,64,1
2492,getelementptr,pointer,pointer,64,-1
2493,getelementptr,pointer,pointer,64,0
2494,getelementptr,operand,int,64,1
2495,load,int,int,8,-1
2496,load,pointer,pointer,64,0
2497,zext,int,int,64,-1
2498,zext,operand,int,8,0
2499,shl,int,int,64,-1
2500,shl,operand,int,64,0
2501,shl,operand,int,64,1
2502,or,int,int,64,-1
2503,or,operand,int,64,0
2504,or,operand,int,64,1
2505,getelementptr,pointer,pointer,64,-1
2506,getelementptr,pointer,pointer,64,0
2507,getelementptr,operand,int,64,1
2508,load,int,int,8,-1
2509,load,pointer,pointer,64,0
2510,zext,int,int,64,-1
2511,zext,operand,int,8,0
